export,import 1,import 2,import 3
Self-Propelled Rail Transport,Non-Knit Active Wear,Animal Extracts,Non-Knit Men's Suits
Semi-Finished Iron,Other Iron Products,Refractory Cements,Iron Structures
Sheet Music,Tapioca,Pianos,Cameras
Signaling Glassware,Optical Fibers and optical fibre bundles,Precious Metal Scraps,Broadcasting Equipment
Silicates,Textile Processing Machines,Aluminium Pipe Fittings,Scrap Rubber
Silk Waste,Cyclic Hydrocarbons,Sound Recordings,Titanium Ore
Silk Waste Yarn,Wool,Cyclic Hydrocarbons,Raw Silk
Silver,Medical Instruments,Calculators,Textile Wall Coverings
Slag Dross,Copper Bars,Tanks and Armored vehicles,Magnesium Carbonate
Sound Recordings,LCDs,Integrated Circuits,Mirrors and Lenses
Soybean Oil,Carboxyamide Compounds,Potassic Fertilizers,Carboxylic Acids
Stainless Steel Ingots,Aluminium Powder,Chlorates and Perchlorates,Iron Railway Products
Steel Bars,Coal Briquettes,Magnesium Carbonate,Casting Machines
Stranded Aluminium Wire,Artificial Textile Machinery,Copper Foil,Signaling Glassware
String Instruments,Manganese Ore,Leather further prepared after tanning or crusting of animals (other than ovine),Other Edible Animal Products
Sulfate Chemical Woodpulp,Iron Railway Products,Excavation Machinery,Sodium or Potassium Peroxides
Sulfite Chemical Woodpulp,Eyewear Frames,Molasses,Plastic Floor Coverings
Sulfonamides,Chemical Analysis Instruments,Newsprint,Precious Metal Compounds
Synthetic Filament Tow,Amine Compounds,Soldering and Welding Machinery,Other Zinc Products
Synthetic Reconstructed Jewellery Stones,Electric Furnaces,Furskin Apparel,Raw Zinc
Synthetic Tanning Extracts,Vegetable Parchment,Other Coloring Matter,Vegetable Tanning Extracts
Tanned Equine and Bovine Hides,Carboxylic Acids,Rubber Inner Tubes,Leather Machinery
Tantalum,Nickel Bars,Microscopes,Watch Straps
Textile Wall Coverings,Retail Cotton Yarn,Non-Knit Men's Suits,Composition leather with a basis of leather or leather fibre
Textile Wicks,Audio Alarms,Watch Straps,Cinnamon
Tin Bars,Iron Nails,Electric Musical Instruments,Malt
Titanium Ore,Filing Cabinets,Ground Nut Oil,Plastic Floor Coverings
Titanium Oxides,Carbonates,Industrial Printers,Other Organic Compounds
Tobacco Processing Machines,Cigarette Paper,Print Production Machinery,Raw Tobacco
Unprocessed Artificial Staple Fibers,Dissolving Grades Chemical Woodpulp,Recovered Paper Pulp,Audio and Video Recording Accessories
Vegetable Parchment,Uncoated Paper,Silicone,Drafting Tools
Vegetable Tanning Extracts,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",Leather Apparel,Print Production Machinery
Vegetable waxes and beeswax,Unsaturated Acyclic Monocarboxylic Acids,"Diazo, Azo or Aoxy Compounds",Lake Pigments
Veneer Sheets,Iron Chains,Woodworking machines,Other Agricultural Machinery
Vermouth,Glass Bottles,Wood Crates,Raw Sugar
Video Cameras,Other Knit Garments,Other Knit Clothing Accessories,Maps
Vinegar,Raw Sugar,Glass Bottles,Toilet Paper
Watch Cases and Parts,Watch Movements,Unmanned aircraft,Microphones and Headphones
Watch Movements,Unmanned aircraft,Optical Fibers and optical fibre bundles,Other Leather Articles
Watch Straps,Leather further prepared after tanning or crusting of animals (other than ovine),Other Ores,Other Edible Animal Products
Weapons Parts and Accessories,Explosive Ammunition,Other Furniture,Wood Carpentry
Wheat Gluten,Tulles and Net Fabric,Titanium Ore,Electrical Control Boards
Wheelchairs,Nickel Ore,Nickel Mattes,Non-Retail Animal Hair Yarn
Wind Instruments,Medical Instruments,String Instruments,Calculators
Wine,Wood Crates,Glass Bottles,Fruit Pressing Machinery
Wood Pulp Lyes,Print Production Machinery,Coated Textile Fabric,Hand Saws
Wool Grease,Wool or Animal Hair Waste,Hot-Rolled Stainless Steel Bars,Photographic Paper
Work Trucks,Wood Fiberboard,Other Furniture,Shaped Wood
Worked Slate,Non-Knit Men's Coats,Granite,Mica
Zinc Oxide and Peroxide,Organic Composite Solvents,Fluorides,Stranded Copper Wire
Zinc Powder,Other Articles of Twine and Rope,Filing Cabinets,Brochures
Zinc Sheets,Computers,Telephones,Microphones and Headphones
Zirconium,Walking Sticks,Molybdenum Ore,Other Glass Articles
Acetals and Hemiacetals,Aldehydes,Copper Housewares,Cyclic Alcohols
Aluminium Ore,Iron Ingots,Stranded Copper Wire,Fluorides
Crude Petroleum,Valves,Iron Pipes,Surveying Equipment
Dissolving Grades Chemical Woodpulp,Plastic Floor Coverings,Watch Straps,Window Dressings
Documents of title (bonds etc) and unused stamps,Microscopes,Medical Instruments,Dental Products
Equine and Bovine Hides,Particle Board,Sports Equipment,Other Articles of Twine and Rope
Forage Crops,Safes,Other Knit Clothing Accessories,Particle Board
Glycerol,Wheat,Other Esters,Sodium or Potassium Peroxides
Gold Clad Metals,Medical Instruments,Pearl Products,Saddlery
Gum Coated Textile Fabric,Nickel Ore,Prepared Paint Driers,Copper Foil
Handguns,Weapons Parts and Accessories,Sports Equipment,Other Firearms
Hat Shapes,Ground Nut Meal,"Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption",Wool
Horses,Plastic Building Materials,Special purpose motor vehicles,Toilet Paper
Iron Reductions,Scrap Vessels,Synthetic Reconstructed Jewellery Stones,Copper Foil
Jute and Other Textile Fibers,Artificial Vegetation,Knit Men's Suits,Coated Textile Fabric
Lake Pigments,Refrigerators,Gum Coated Textile Fabric,Image Projectors
Military Weapons,Weapons Parts and Accessories,Gas Turbines,Explosive Ammunition
"Mixtures containing halogenated derivatives of methane, ethane or propane, n.e.s.",Nickel Ore,Halogens,Wool
Molybdenum Ore,Knives,Other Knit Clothing Accessories,Audio Alarms
Nonmetal Sulfides,Telephones,Computers,Metal Signs
Nuclear Reactors,Knit Socks and Hosiery,Radioactive Chemicals,Sanitary towels (pads)
Other Sea Vessels,Refined Petroleum,Reclaimed Rubber,Soybean Oil
Palm Oil,Phosphinates (hypophosphites) and phosphonates (phosphites),Seed Oils,Other Sugars
Parachutes,Other Furniture,Ornamental Ceramics,Building Stone
Petroleum Gas,Other Large Iron Pipes,Large Iron Containers,Liquid Pumps
Precipitated Copper,Microphones and Headphones,Metal Signs,Traffic Signals
Prepared Explosives,Electrical Control Boards,Other Nickel Products,Detonating Fuses
Processed Hair,Cassava,Chemical Analysis Instruments,Eyewear Frames
Radioactive Chemicals,Brochures,Zirconium,Copper Housewares
Raw Furskins,Chemically Pure Sugars,Iron Housewares,Corrugated Paper
Scrap Lead,Wood Ornaments,Glass Bricks,Candles
Scrap Tin,Umbrella and Walking Stick Accessories,Traffic Signals,Aluminium Plating
Scrap Vessels,Dashboard Clocks,Iron Sheet Piling,Other Inorganic Acids Salts
Semi chemical Woodpulp,Plastic Floor Coverings,Iron Nails,Pickled Foods
Slate,Equine and Bovine Hides,Sulfate Chemical Woodpulp,Asphalt Mixtures
"Spring, Air, and Gas Guns",Sports Equipment,Binoculars and Telescopes,Copper Bars
Tall Oil,Carboxyamide Compounds,Navigation Equipment,Shaped Wood
Tanks and Armored vehicles,Uncoated Paper,Dashboard Clocks,Brochures
Tanned Goat Hides,Tanned Sheep Hides,Leather Machinery,Equine and Bovine Hides
Tungsten Ore,Sanitary towels (pads),Scrap Rubber,Metallic Fabric
Umbrella and Walking Stick Accessories,Other Edible Animal Products,Semi chemical Woodpulp,Rubber Thread
Unmanned aircraft,Non-Retail Animal Hair Yarn,Diamonds,Tin Ores
Vanilla,Light Fixtures,Other Furniture,Other Knit Garments
"Wood Tar, Oils and Pitch",Alkylbenzenes and Alkylnaphthalenes,Rubber Apparel,Turpentine
Zinc Bars,Leather Footwear,Other Knit Clothing Accessories,Copper Housewares
Zinc Ore,Manganese,Leather Apparel,Laboratory Ceramic Ware
Animal Organs,Plastic Lids,Aluminium Foil,Raw Plastic Sheeting
"Nutmeg, mace and cardamons",Cinnamon,Pepper,Cloves
Olive Oil,Raw Sugar,Vegetable Plaiting Materials,Glass Bottles
Sheep and Goat Meat,Glass Bottles,Buckwheat,Wood Crates
Bitumen and asphalt,Other Slag and Ash,Boiler Plants,Metal Signs
Copper Ore,Other Knit Clothing Accessories,Audio Alarms,Microphones and Headphones
Precious Metal Ore,Knit Sweaters,Zinc Ore,Non-Knit Men's Suits
"Bovine, Sheep, and Goat Fat",Cement Articles,"Awnings, Tents, and Sails",Other Knit Clothing Accessories
Chamois (including combination chamois) leather,Woven Fabrics,Leather further prepared after tanning or crusting of animals (other than ovine),Heavy Pure Woven Cotton
Cigarette Paper,Maps,Knit Socks and Hosiery,Baby Carriages
Cocoa Beans,Confectionery Sugar,Textile Wall Coverings,Leather Apparel
Densified Wood,Iron Cloth,Other Coloring Matter,Aluminium Plating
Fat and Oil Residues,Prepared Rubber Accelerators,Prepr binder for foundry,Other Vinyl Polymers
Iron Ore,Machinery Having Individual Functions,Electric Furnaces,Other Printed Material
Iron Pyrites,Manganese Ore,Cameras,Tin Bars
Nickel Mattes,Nickel Ore,Sulfonamides,Stranded Copper Wire
Oil Seed Flower,Bells and Other Metal Ornaments,Other Musical Instruments,Party Decorations
Other Meat,Paper Spools,Glues,Raw Sugar
Other Ores,Artistry Paints,Pens,Mechanical Wood Pulp
Railway Passenger Cars,Knit Men's Undergarments,Book-binding Machines,Flavored Water
Undeveloped Exposed Photographic Material,Silver Clad Metals,Trunks and Cases,Neck Ties
Debacked Cork,Waxes,Prepared Cotton,Vinegar
Hemp Fibers,Saddlery,Felt,Garments of Impregnated Fabric
Sheep Hides,Aluminium Plating,Buckwheat,Kraft Paper
Tanned Sheep Hides,Light Synthetic Cotton Fabrics,Ink Ribbons,Tanned Goat Hides
Wine Lees,Ink Ribbons,Industrial Printers,Laboratory Reagents
Cadmium,Unmanned aircraft,Zinc Powder,Zinc Ore
Calcium Phosphates,Other Glass Articles,Other Measuring Instruments,Machinery Having Individual Functions
Electrical and electronic waste and scrap,Umbrella and Walking Stick Accessories,Gum Coated Textile Fabric,Window Dressings
Ground Nut Oil,Ground Nut Meal,Decals,Reclaimed Rubber
Hat Forms,Artistry Paints,Pharmaceutical Rubber Products,Cocoa Shells
Lignite,Prefabricated Buildings,Liquid Pumps,Excavation Machinery
Linoleum,Electrical Control Boards,Felt,Prepared Pigments
Mechanical Wood Pulp,Textile Scraps,Scrap Rubber,Aircraft Parts
"Motion-picture film, exposed and developed",Vermouth,Glass Bricks,Shaped Wood
Nickel Ore,Nickel Mattes,Precipitated Copper,Dashboard Clocks
Pig and Poultry Fat,Plastic Lids,Bathroom Ceramics,Raw Plastic Sheeting
Pigs,Other Small Iron Pipes,Oil Seed Flower,Bovine
Platinum Clad Metals,Optical Fibers and optical fibre bundles,Unmanned aircraft,Watch Movements
Raw Copper,Audio Alarms,Soldering and Welding Machinery,Copper Bars
Rye,Eggs,Safety Glass,Iron Sewing Needles
Sorghum,Soldering and Welding Machinery,Electrical Control Boards,Oxygen Heterocyclic Compounds
Sulfur,Letter Stock,Corrugated Paper,Other Printed Material
Wool,Scrap Plastic,Waxes,Synthetic Filament Tow
Artificial Monofilament,Non-Knit Men's Undergarments,Unprocessed Artificial Staple Fibers,Composition leather with a basis of leather or leather fibre
Cocoa Butter,Cocoa Paste,Artistry Paints,Chocolate
Fishing Ships,Netting,Coated Metal Soldering Products,Twine and Rope
Jute Yarn,Non-Retail Animal Hair Yarn,Other Edible Animal Products,Optical Fibers and optical fibre bundles
Lard stearin and oils,"Compounds, inorganic or organic, of mercury, excluding amalgams",Baby Carriages,Iron Reductions
Preserved Fruits and Nuts,Coconut and Other Vegetable Fibers,Inedible Fats and Oils,Other Oily Seeds
Silver Clad Metals,Medical Instruments,Clock Cases and Parts,Pearl Products
Tapioca,Carbonates,Photographic Plates,Borax
Wool or Animal Hair Waste,Coated Textile Fabric,Felt Machinery,Processed Artificial Staple Fibers
"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes",Non-Retail Animal Hair Yarn,Tin Ores,Unmanned aircraft
Other Locomotives,Tool Plates,Other Stainless Steel Bars,Traffic Signals
Pig Hair,Soybeans,Borax,Asphalt Mixtures
Human Hair,Steel Bars,Undeveloped Exposed Photographic Material,Vegetable and Mineral Carvings
Electric Locomotives,Opto-Electric Instrument Parts,Rolled Tobacco,Non-Knit Women's Shirts
Maté,Pig Hair,Rubber Thread,Non-Retail Artificial Staple Fibers Yarn
Cocoa Shells,Saturated Acyclic Monocarboxylic Acids,Vegetable Saps,Unsaturated Acyclic Monocarboxylic Acids
Silk-worm Cocoons,Computers,Microphones and Headphones,Cameras
Animal Hair,Other Furniture,Other Knit Garments,Hand-Woven Tapestries
Cobalt Ore,Glands and Other Organs,Wool Grease,Pig Hair
"Compounds, inorganic or organic, of mercury, excluding amalgams",Gum Coated Textile Fabric,Shaped Wood,Refrigerators
Ground Nut Meal,Other Furniture,Glass Bricks,Computers
Horse Meat,Other Cotton Fabrics,Opto-Electric Instrument Parts,Rolled Tobacco
Horsehair Yarn,Prepared Paint Driers,Semi-Finished Iron,Non-Retail Animal Hair Yarn
Non-Petroleum Gas,Pearl Products,Telephones,Gauze
Raw Silk,Nickel Ore,Semi chemical Woodpulp,Jute Yarn
Tin Ores,Bandages,Other Edible Preparations,Non-Knit Men's Coats
Asbestos,Laboratory Ceramic Ware,Bananas,Other Glass Articles
Uranium and Thorium Ore,Plastic Floor Coverings,Eyewear Frames,Ground Nut Oil
"Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption",Silk-worm Cocoons,Stranded Copper Wire,Ground Nut Meal
Glazed Ceramics,Wool Grease,String Instruments,"Wood Tar, Oils and Pitch"
Copra,Pianos,"Motion-picture film, exposed and developed",Diamonds
