export,import 1,import 2,import 3
Gypsum,Glass Fibers,Packing Bags,Iron Housewares
Hair Products,Jams,Scented Mixtures,Cleaning Products
Hair Trimmers,Non-Retail Animal Hair Yarn,Nickel Ore,X-Ray Equipment
Halogenated Hydrocarbons,Graphite,Petroleum Resins,Carboxyamide Compounds
Hand Saws,Starches,Acyclic Alcohols,Equine and Bovine Hides
Hand Sifters,Steel Wire,Pile Fabric,Non-Mechanical Removal Machinery
Hand Tools,Iron Pyrites,Epoxides,Scrap Waste
Hand-Woven Rugs,Jute Yarn,Sanitary towels (pads),Hair Products
Hard Rubber,Used Rubber Tires,Petroleum Resins,Rubber Sheets
Harvesting Machinery,Combustion Engines,Iron Structures,Raw Plastic Sheeting
Hats,Asphalt Mixtures,Non-Knit Men's Suits,Hemp Fibers
Heavy Mixed Woven Cotton,Heavy Pure Woven Cotton,Looms,Woven Fabric of Synthetic Staple Fibers
Heavy Pure Woven Cotton,Looms,Other Cotton Fabrics,Other Vegetable Fibers Fabric
Heavy Synthetic Cotton Fabrics,Jute Yarn,Other Cotton Fabrics,Heavy Pure Woven Cotton
High-voltage Protection Equipment,Medical Instruments,Electrical Insulators,Plastic Housewares
Hops,Oscilloscopes,Non-Knit Gloves,Knives
Hose Piping Textiles,Rubber Sheets,Gas Turbines,Knitted or crocheted fabrics of a width exceeding 30 cm
Hot-Rolled Iron,Ferroalloys,Coke,Iron Wire
Hot-Rolled Iron Bars,Refractory Bricks,Magnesium Carbonate,Metal-Rolling Mills
House Linens,Equine and Bovine Hides,Iron Ore,Other Measuring Instruments
Household Washing Machines,Electrical Control Boards,Styrene Polymers,Looms
Hydraulic Brake Fluid,Electrical Ignitions,Copper Pipes,Other Esters
Hydrogen,Electric Furnaces,Machinery Having Individual Functions,Fluorides
Hydrometers,Chemical Analysis Instruments,Soldering and Welding Machinery,Copper Housewares
Hypochlorites,Dithionites and Sulfoxylates,Other Coloring Matter,Unprocessed Artificial Staple Fibers
Ice Cream,Tea,Knit Active Wear,Building Stone
Imitation Jewellery,Equine and Bovine Hides,Tulles and Net Fabric,Non-Retail Pure Cotton Yarn
"Industrial Fatty Acids, Oils and Alcohols",Prepared Rubber Accelerators,Coconut Oil,Phosphinates (hypophosphites) and phosphonates (phosphites)
Industrial Food Preperation Machinery,Other Small Iron Pipes,Raw Plastic Sheeting,Rubber Sheets
Industrial Furnaces,Surveying Equipment,Iron Powder,Nickel Pipes
Industrial Printers,Mannequins,Other Electrical Machinery,Plaiting Products
Ink,Copper Pipes,Copper Housewares,Lighters
Ink Ribbons,Lighters,Photographic Paper,Pig Meat
Inorganic Salts,Carbonates,Electric Furnaces,Hydrides and other anions
Insect Resins,Yeast,Vegetable Tanning Extracts,Malt
Instructional Models,Other Furniture,Ceramic Tableware,Metalworking Transfer Machines
Insulated Wire,Copper Wire,Rubber Sheets,Other Iron Products
Insulating Glass,Rye,Garments of Impregnated Fabric,Rubber Sheets
Integrated Circuits,Disc Chemicals for Electronics,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays",Oscilloscopes
Interchangeable Tool Parts,Microphones and Headphones,Thermostats,Broadcasting Accessories
Interior Decorative Glassware,Iron Ore,Manganese Ore,Soybeans
Iron Blocks,Other Cast Iron Products,Other Iron Products,Industrial Furnaces
Iron Chains,Horsehair Yarn,Looms,Non-Retail Animal Hair Yarn
Iron Cloth,Safety Glass,Large Coated Flat-Rolled Iron,Flat Flat-Rolled Steel
Iron Fasteners,Metalworking Machine Parts,Musical Instrument Parts,Petroleum Resins
Iron Gas Containers,Air Pumps,Iron Pipe Fittings,Copper Pipes
Iron Housewares,Sulfate Chemical Woodpulp,Iron Ore,Electrical Resistors
Iron Nails,Iron Ore,Metalworking Machines,Manganese Ore
Iron Oxides and Hydroxides,Polyacetals,Scrap Rubber,Optical Fibers and optical fibre bundles
Iron Pipe Fittings,Metalworking Machines,Metalworking Transfer Machines,Balances
Iron Pipes,Casting Machines,Electric Furnaces,Metalworking Machines
Iron Radiators,Metal Mountings,Valves,Copper Pipe Fittings
Iron Railway Products,Casting Machines,Metal-Rolling Mills,Coated Metal Soldering Products
Iron Sewing Needles,Other Electrical Machinery,Flax Fibers,Malt Extract
Iron Sheet Piling,Metal Insulating Fittings,Ball Bearings,Electrical Power Accessories
Iron Springs,Metalworking Machine Parts,Glass Fibers,Metal Molds
Iron Stovetops,Time Switches,Other Edible Animal Products,Semi-Finished Iron
Iron Structures,Other Iron Products,Raw Plastic Sheeting,Large Coated Flat-Rolled Iron
Iron Toiletry,Iron Ore,Photo Lab Equipment,Mica
Iron Wire,Stone Working Machines,Metalworking Machines,Metal Finishing Machines
Jams,Other Paper Machinery,"Other live plants, cuttings and slips;
mushroom spawn",Used Rubber Tires
Jewellery,Hard Liquor,Imitation Jewellery,Cars
Jute Woven Fabric,Basketwork,Saddlery,Bird Skins and Feathers
Kaolin Coated Paper,Plastic Lids,Iron Structures,Other Wood Articles
Ketones and Quinones,Sulfate Chemical Woodpulp,Non-optical Microscopes,Other Sugars
Knit Active Wear,Labels,Tulles and Net Fabric,Malt Extract
Knit Babies' Garments,Labels,Dissolving Grades Chemical Woodpulp,Non-Knit Men's Coats
Knit Gloves,Looms,Iron Ore,Non-Retail Pure Cotton Yarn
Knit Men's Coats,Knit T-shirts,Non-Knit Men's Coats,Other Knit Clothing Accessories
Knit Men's Shirts,Labels,Non-Knit Men's Coats,Non-Knit Women's Coats
Knit Men's Suits,Copper Ore,Equine and Bovine Hides,Labels
Knit Men's Undergarments,Thermostats,Granite,Non-Retail Pure Cotton Yarn
Knit Socks and Hosiery,Photographic Film,Felt Machinery,Copper Housewares
Knit Sweaters,Labels,Equine and Bovine Hides,Iron Ore
Knit T-shirts,Other Knit Garments,Non-Knit Women's Shirts,Labels
Knit Women's Shirts,Tulles and Net Fabric,Non-Knit Women's Coats,Non-Knit Women's Shirts
Knit Women's Suits,Coal Tar Oil,Equine and Bovine Hides,Copper Ore
Knit Women's Undergarments,Coal Tar Oil,Copper Ore,Iron Ore
Knitted Hats,Microscopes,Iron Ore,Artificial Textile Machinery
Knitted or crocheted fabrics of a width not exceeding 30 cm,Photographic Paper,Non-Retail Silk Yarn,Photographic Film
Knitting Machine Accessories,Non-Retail Synthetic Filament Yarn,Copper Plating,Other Cloth Articles
Knitting Machines,Dolomite,Non-Retail Artificial Filament Yarn,Rare-Earth Metal Compounds
Knives,Tulles and Net Fabric,Precious Stones,Rare-Earth Metal Compounds
